name;description;element_type;country;lat;long;exact;source;license
TEXT;TEXT;TEXT;TEXT;REAL;REAL;INT;TEXT;TEXT
[str];[str];[str];[str];[double];[double];1=exact,2=city,3=region,4=country;[str];[str]
Dunkerque;LNG Termninal Dunkirch;{P};Frankreich;51.038;2.4;2;;
Dunton;;{P};Grossbritannien;51.30786659;0.155359992;1;Shapefile;
Duxford;;{P};Grossbritannien;52.08238503;0.163939608;1;Shapefile;
Dymock;;{P};Grossbritannien;51.97075266;-2.440713509;1;Shapefile;
East ;;{P};Grossbritannien;57.19629971;-2.312651012;1;Shapefile;
East I;;{P};Grossbritannien;51.5220111;-1.278378775;1;Shapefile;
Eggendorf;;{C};Oesterreich;47.8581317;16.3221872;2;;
Egtved;;{C};Daenemark;55.617559;9.3122919;2;;
Eischleben;;{P};Deutschland;50.902646;11.006814;1;;
ElFerrol;;{L};Spanien;43.489646;-8.2193451;2;;
Ellund;Deudan;{C};Deutschland;54.7958121;9.3083302;2;;
Ellund_D;;{P};Deutschland;54.801878;9.289041;1;;
Ellund_DK;;{P};Daenemark;54.80609;9.29094;1;;
Elten;;{C};Deutschland;51.873211;6.1623348;2;;
Elvanfoot;;{P};Grossbritannien;55.43846479;-3.665440888;1;Shapefile;
Elworth;;{P};Grossbritannien;53.1563848;-2.411266389;1;Shapefile;
Embsen;;{P};Deutschland;53.0268;9.022361;1;;
Emden;;{E};Deutschland;53.3594029;7.2060095;2;;
Empelde;;{S};Deutschland;52.339624;9.650892;1;;
Emsburen;;{I};Deutschland;52.3926684;7.2926853;3;;
EnergyStock;;{S};Holland;;;4;;
Enna;;{C};Italien;37.5099321;14.262851;2;;
EntreDeuxGuiers;;{C};Frankreich;45.433287;5.7521129;2;;
Enzersfeld;;{P};Oesterreich;48.36;16.42;2;;
Epe_H;;{S};Deutschland;52.175948;7.006152;1;;
Epe_L;;{S};Deutschland;52.17595;7.00616;1;;
Eschenfelden;;{S};Deutschland;52.175948;7.006152;1;;
Etrez;;{S};Frankreich;46.336132;5.212561;1;;
Etzel_CH;;{P};Schweiz;47.1774817;8.7677996;2;;
Etzel_D;;{S};Deutschland;53.461064;7.912085;1;;
Euskadour;;{C};Spanien;;;5;;
EvryGregy;;{C};Frankreich;48.6539418;2.6357442;2;;
EWE_Elsfleth;;{S};Deutschland;53.194313;8.400715;1;;
Ewijk;;{P};Holland;51.845368;5.722341;1;;
Exeter;;{P};Grossbritannien;50.721;-3.519;2;;
Eynatten;;{P};Belgien;50.7;6.09;2;;
Fairstead;;{P};Grossbritannien;52.74867609;1.41570954;1;Shapefile;
Falahill;;{P};Grossbritannien;55.79590063;-3.00178028;1;Shapefile;
Fallentor;;{I};Schweiz;47.658044;8.6948726;3;;
Felindre;;{C};Grossbritannien;51.69076021;-3.955976771;1;;
Finsing;;{P};Deutschland;48.223;11.798;2;;
FiumeTreste;;{S};Italien;42.022911;14.699295;1;;
Flaibano;;{P};Italien;46.057566;12.984152;2;;
FluxysZeebrugge;;{L};Belgien;51.353;3.22241;2;;
Fockbek;Molchstation  Fockbek;{P};Deutschland;54.3;9.6;2;;
Foligno;;{P};Italien;42.948536;12.69996;2;;
Folmhusen;;{P};Deutschland;53.17366;7.496896;1;;
FontenayMauvoisin;;{P};Frankreich;48.95313;1.638196;1;;
Forchheim;;{P};Deutschland;48.826787;11.683951;2;;
Fordoun;;{P};Grossbritannien;56.88341839;-2.405535929;1;Shapefile;
FosCavaou;;{L};Frankreich;43.41963;4.90102;2;;
FosTonkin ;;{L};Frankreich;43.454;4.85167;2;;
FosSurMer;Fos Sur Mer;{P};Frankreich;43.45;4.891;2;;
Frankenthal;;{S};Deutschland;49.555408;8.409677;1;;
Frankton;;{P};Grossbritannien;52.32780019;-1.389373057;1;Shapefile;
Fronhofen;;{S};Deutschland;47.851208;9.414961;1;;
Gagliano;;{P};Italien;37.70948;14.53523;2;;
GaglianoSparacollo;Gagliano (Sparacollo);{P};Italien;37.684813;14.652717;3;;
Galata;;{S};Bulgarien;43.186113;28.205624;2;;
Galgate;;{P};Grossbritannien;53.99951804;-2.768220113;1;Shapefile;
Gallese;Gallese Civita Cast.;{P};Italien;42.373095;12.40241;2;;
Gargunnock;;{P};Grossbritannien;56.10473774;-3.998680074;1;Shapefile;
Gatchinskoye;;{S};Russland;;;4;;
GateRotterdam;Rotterdam;{L};Holland;51.973837;4.064029;1;;
Gateway;;{S};Grossbritanien;54.099578;-3.18364;1;;
Gaviota;;{S};Spanien;43.443007;-2.756361;1;;
Gaviota ;;{P};Spanien;42.18;3.1;2;;
Gebirgsneudorf;Extra;{P};Tschechien;50.5859;13.441;2;;
Gela;;{P};Italien;37.052698;14.269219;2;;
GermignySousCoulombs;;{S};Frankreich;49.055792;3.173434;1;;
Gernsheim;;{P};Deutschland;49.7574082;8.4885231;2;;
Gerstein;Hamm-Werne;{P};Deutschland;51.65;7.64;2;;
Ghercesti;;{S};Rumaenien;44.352658;23.886504;2;;
Gijon;;{P};Spanien;43.534;-5.664;2;;
Girona;;{P};Spanien;41.976;2.818;2;;
Giurgiu;;{P};Rumaenien;43.9046;25.9625;2;;
Glenmavis;;{P};Grossbritannien;55.89257658;-4.013319045;1;Shapefile;
Golasecca;;{P};Italien;45.697737;8.658697;2;;
Golenoiow;;{C};Polen;53.56382;14.82843;2;;
Gonars;;{P};Italien;45.897033;13.236542;2;;
Gorizia;;{P};Italien;45.942831;13.619396;2;;
Gormanston;Gormanston/Ballough;{P};Irland;53.638742;-6.22249;1;;
Goteborg;;{L};Schweden;57.70887;11.97456;2;;
GournaySurAronde;;{S};Frankreich;49.526019;2.699989;1;;
Grafendorf ;bei Hartberg;{C};Oesterreich;47.3404037;15.9911036;2;;
Gravenvoeren;;{I};Belgien;50.7587829;5.7611628;3;;
Grayrigg;;{P};Grossbritannien;54.37033107;-2.674884378;1;Shapefile;
Great;;{P};Grossbritannien;52.40534588;-0.218485128;1;Shapefile;
Greifswald;;{E};Deutschland;54.716599;13.3923414;2;;
Grenada;;{P};Spanien;37.182;-3.602;3;;
Griespass;Griespass (VS);{P};Italien;46.45;8.3666667;2;;
Grijpskerk;no production facility;{S};Holland;53.278554;6.31028;1;;
Groningen;;{P};Holland;53.224;6.569;2;;
GrossKoeris;Gross Koeris;{P};Deutschland;52.164;13.663;2;;
Grotegaste;;{P};Deutschland;53.17;7.39;3;;
GrubisnoPolje;;{S};Croatia;45.718357;17.194853;2;;
Grumento;;{P};Italien;40.316324;15.90466;1;;
GSDVirtualGasStorageDenmark;;{S};Daenemark;;;5;;
Gustorzyn;;{C};Polen;52.6591774;18.8777344;2;;
Gusyatin;;{C};Ukraine;49.073147;26.1831731;2;;
Haehnlein;;{S};Deutschland;49.7458;8.554382;1;;
Haidach;Storage Capacity solely connected to Germany;{S};Oesterreich;47.9867;13.232375;1;;
Haiming;;{P};Deutschland;48.193991;12.851803;1;;
Hajduszoboszlo;;{S};Ungarn;47.507335;21.366312;1;;
Hamburg;;{P};Deutschland;53.561;10.011;2;;
HamStreet;;{P};Grossbritannien;51.11561208;-2.620932257;1;Shapefile;
Hardingham;;{P};Grossbritannien;52.61556594;1.024303992;1;Shapefile;
Haro;;{C};Spanien;42.5768716;-2.8502302;2;;
Harsefeld;;{S};Deutschland;53.435469;9.482867;1;;
HassiRMel;;{P};Algerien;32.9349916;3.2684215;2;;
HatfieldMoor;;{S};Grossbritanien;53.553344;-0.958426;1;;
Hatton;;{C};Grossbritannien;53.26989703;-0.240515533;1;;
Hauterives;;{S};Frankreich;;;2;;
Hawarden;;{P};Grossbritannien;53.2408134;-3.036160694;1;Shapefile;
Hays;;{P};Grossbritannien;53.16553096;-2.405954911;1;Shapefile;
Heapy;;{P};Grossbritannien;53.66874764;-2.598467263;1;Shapefile;
Helpston;;{P};Grossbritannien;52.62189979;-0.345173733;1;Shapefile;
Helsby;;{P};Grossbritannien;53.2755149;-2.772324221;1;Shapefile;
Herbstein;;{C};Deutschland;50.549247;9.33958;2;;
Herchenrode;;{P};Deutschland;49.76;8.7;4;;
Hermahnowice;;{I};Polen;49.7230552;22.8148987;3;;
Hespenbusch;;{C};Deutschland;;;5;;
HillTopFarm;Hill Top Farm (Cheshire);{S};Grossbritanien;53.138712;-2.456099;2;;
Hilvarenbeek;;{C};Holland;51.4856827;5.1384062;2;;
HJe;;{S};Tschechien;49.657311;14.048542;1;;
HoleHouseFarm;;{S};Grossbritanien;53.138712;-2.456099;2;;
Holford;;{S};Grossbritanien;53.225722;-2.405628;1;;
HolfordBrinefield;;{S};Grossbritanien;53.234049;-2.434752;1;;
Hollinsgreen;;{P};Grossbritannien;53.16966247;-2.413775835;1;Shapefile;
Honeybourne;;{P};Grossbritannien;52.09029916;-1.846021933;1;Shapefile;
HoraSvateKateriny;;{C};Tschechien;50.6063162;13.4367336;2;;
Hornby;;{P};Grossbritannien;54.43744794;-1.430939743;1;Shapefile;
Hornsea;Hornsea (Atwick);{S};Grossbritanien;53.946602;-0.207576;1;;
Hospozin;;{P};Tschechien;50.312;14.17;2;;
Hostim;;{C};Tschechien;49.0185906;15.894895;2;;
Huegelheim;;{P};Deutschland;47.835122;7.596259;1;;
Huelva;;{P};Spanien;37.2615;-6.9422;2;;
Hugelheim;;{I};Deutschland;47.8302767;7.6210786;3;;
HumblyGrove;;{S};Grossbritanien;51.194305;-1.010382;1;;
Huntingdon;;{C};Grossbritannien;52.31032265;-0.362344801;1;;
Huntorf;;{S};Deutschland;53.19421;8.400683;1;;
Husow;;{S};Polen;50.006978;22.264141;1;;
Hust;;{C};Ukraine;48.1734633;23.2972476;2;;
Ibiza;;{P};Spanien;39;1.46;3;;
Ihtiman;;{C};Bulgarien;42.4382418;23.8161718;2;;
Imatra;;{C};Finnland;61.1695977;28.7645463;2;;
Indefatigable;Indefatigable (Hewitt);{P};Grossbritannien;53.55;2.301;3;;
Ingleby;;{P};Grossbritannien;54.42789167;-1.109318609;1;Shapefile;
VirtualStorageTschechien;;{S};Tschechien;;;2;;
Inukalns;;{S};Lettland;57.169567;24.696409;1;;
Inverurie;;{P};Grossbritannien;57.26096297;-2.330271642;1;Shapefile;
Inzenham;;{I};Deutschland;47.8808712;12.2282127;3;;
InzenhamWest;;{S};Deutschland;47.887547;12.103307;2;;
Isaccea;;{E};Rumanien;45.265423;28.4607273;2;;
Islandmagee;;{S};Grossbritanien;54.842619;-5.778247;1;;
Istrana;Compressor;{P};Italien;45.715303;12.072133;1;;
Ivasevichi;;{C};Weissrussland;52.7079632;25.3353752;2;;
Izaute;;{S};Frankreich;;;4;;
Jaroslaw;;{C};Polen;50.0161463;22.6777169;2;;
Jauniunai;;{C};Litauen;54.941019;25.00762;2;;
Jeleniow;;{C};Polen;50.4219019;16.2595368;2;;
Jemgum;The initial gas filling started in September 2013, first commercial operations were conducted in 2014/15.;{S};Deutschland;53.253484;7.388862;1;;
Jupa;;{C};Rumaenien;45.4591308;22.186488;2;;
Jura;;{I};Frankreich;47.3444474;7.1430608;3;;
Kaliningradskoe;;{S};Russland;;;4;;
Kalle;;{S};Deutschland;53.253484;7.388862;1;;
Kardam;;{C};Bulgarien;43.7538009;28.1079003;2;;
Kardoskut;;{S};Ungarn;46.495789;20.71714;1;;
Karksi;;{I};Estland;58.1002085;25.5493386;3;;
Karlsruhe;;{P};Deutschland;49.01378;8.404;2;;
Karsto;;{P};Norwegen;59.282;5.541;3;;
Kasachya;;{C};Ukraine;49.5833333;36.35;2;;
Katharina;;{S};Deutschland;51.748403;11.742807;1;;
Kidricevo;;{P};Slowenien;46.4050135;15.7947234;2;;
Kiefersfelden;;{I};Deutschland;47.6181459;12.1868662;3;;
KielRoenne;;{S};Deutschland;54.266597;10.200844;1;;
Kiemenai;;{I};Litauen;56.2502439;24.2909848;3;;
Kienbaum;;{P};Deutschland;52.4483075;13.9567212;2;;
Kilby;;{P};Grossbritannien;52.5460921;-1.082707723;1;Shapefile;
Killingholme;;{P};Grossbritannien;53.641;-2.64;2;;
Kinbuck;;{P};Grossbritannien;56.23625498;-3.94094422;1;Shapefile;
Kings;;{P};Grossbritannien;52.71582283;0.547139531;1;Shapefile;
KingStreet;;{S};Grossbritanien;53.255659;-2.447396;1;;
Kinharrachie;;{P};Grossbritannien;57.3721576;-2.15221155;1;Shapefile;
KinsaleSouthwest;;{S};Irland;51.608848;-8.533264;2;;
Kipi;;{C};Estland;58.2502984;22.0401873;2;;
Kipoi;;{P};Griechenland;39.862;20.792;2;;
KipoiBorderCrossing;Border Crossing Point;{E};Griechenland;40.9450804;26.3110854;2;;
Kirchberg;Wagram;{P};Oesterreich;48.4319861;15.8974939;2;;
Kirchheiligen;;{S};Deutschland;51.219587;10.702464;1;;
Kirkby_1;;{P};Grossbritannien;52.82940331;-0.434214876;1;Shapefile;
